"","Name","number","Type","Abbreviation","Description"
"1","1 Evergreen needleleaf forests","1 ","evergreen needleleaf forests","ENF"," Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage."
"2","2 Evergreen broadleaf forests","2 ","evergreen broadleaf forests","EBF"," Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees and shrubs remain green year round. Canopy is never without green foliage."
"3","3 Deciduous needleleaf forests","3 ","deciduous needleleaf forests","DNF"," Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Consists of seasonal needleleaf tree communities with an annual cycle of leaf-on and leaf-off periods."
"4","4 Deciduous broadleaf forests","4 ","deciduous broadleaf forests","DBF"," Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods."
"5","5 Mixed forests","5 ","mixed forests","MF"," Lands dominated by trees with a percent cover >60% and height exceeding 2 meters. Consists of tree communities with interspersed mixtures or mosaics of the other four forest types. None of the forest types exceeds 60% of landscape."
"6","6 Closed shrublands","6 ","closed shrublands","CSH"," Lands with woody vegetation less than 2 meters tall and with shrub canopy cover >60%. The shrub foliage can be either evergreen or deciduous."
"7","7 Open shrublands","7 ","open shrublands","OSH"," Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous."
"8","8 Woody savannas","8 ","woody savannas","WSA"," Lands with herbaceous and other understory systems, and with forest canopy cover between 30-60%. The forest cover height exceeds 2 meters."
"9","9 Savannas","9 ","savannas","SAV"," Lands with herbaceous and other understory systems, and with forest canopy cover between 10-30%. The forest cover height exceeds 2 meters."
"10","10 Grasslands","10","grasslands","GRA"," Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water."
"11","11 Permanent wetlands","11","permanent wetlands","WET"," Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water."
"12","12 Croplands","12","croplands","CRO"," Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type."
"13","13 Urban and built-up lands","13","urban and built-up lands","URB"," Land covered by buildings and other man-made structures."
"14","14 Cropland/natural vegetation mosaics","14","cropland/natural vegetation mosaics","CVM"," Lands with a mosaic of croplands, forest, shrublands, and grasslands in which no one component comprises more than 60% of the landscape."
"15","15 Snow and ice","15","snow and ice","SNO"," Lands under snow/ice cover most of the year."
"16","16 Barren","16","barren","BSV"," Lands exposed soil, sand, or rocks and has less than 10% vegetative cover during any time of the year."
"17","17 Water bodies","17","water bodies","WAT",NA
